Date_read,Day collected,Month collected,Year collected,sample,Replicate,Location,Habitat,Orig. sample volume (ml),DNA (ul),orig.(ng/ul),Qubit[](ng/ul),S1 Low,S2 High,Notes,Fish/sample,Depth (m)
5/7/2019,2,January,2019,106,24,MS,AW,200,5,0.066,1.65,72.59,36070.04,Same jar than 107,NA,2
5/7/2019,2,January,2019,107,24,MS,AW,200,5,0.026,0.5,65.1,35087.91,Same jar than 106,NA,2
4/1/2019,3,January,2019,118,25,Afo,CR,200,5,0.0248,0.62,74.32,38153.68,,60,4
5/7/2019,3,January,2019,126,25,Afo,CR,200,5,1.17,29.3,72.59,36070.04,,60,4
5/7/2019,3,January,2019,116,25,Afo,CR,200,5,1.73,43.2,72.59,36070.04,,60,4
5/7/2019,3,January,2019,119,26,Afo,CR,200,5,0.84,21,72.59,36070.04,,5,4
4/27/2019,3,January,2019,125,26,Afo,CR,200,5,1.05,26.2,70.69,36806.67,,5,4
5/7/2019,3,January,2019,114,26,Afo,CR,200,5,0.0228,0.57,72.59,36070.04,,5,4
4/1/2019,3,January,2019,122,27,Afo,CR,200,5,NA,NA,74.32,38153.68,Out of range,47,4
5/13/2019,3,January,2019,113,27,Afo,CR,200,5,NA,NA,71.28,37736.78,Out of range,47,4
5/7/2019,3,January,2019,111,27,Afo,CR,200,5,0.02,0.5,72.59,36070.04,,47,4
4/27/2019,3,January,2019,54,28,Afo,AW,200,5,0.988,24.7,74.94,17588.8,Same jar than 123,NA,3
5/7/2019,3,January,2019,123,28,Afo,AW,200,5,1.05,26.2,72.59,36070.04,Same jar than 54,NA,3
